Entry ID,Jurisdiction ,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group"
SK041,Sask.,2020-04-08,2020-04-08,Public information,Public information — projections,"Who: Government of Saskatchewan, Saskatchewan Health Authority
What: Released projections for cases and critical care capacity
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/08/health-system-readiness,Not applicable,Provincial/territorial,No
SK042,Sask.,No data,2020-04-13,Contextual information,Contextual information — holiday,"Who: Boards of education
What: Spring breaks in Sask. regions follow the same schedule. Saskatoon Public Schools example provided.
Effective until: 2020-04-17",https://www.spsd.sk.ca/Schools/calendar/Pages/default.aspx#/=,Not applicable,Regional,No
SK043,Sask.,2020-04-14,2020-04-15,Health workforce,Health workforce — safety guidelines,"Who: Saskatchewan Health Authority (SHA)
What: Mandated daily screening of staff, physicians, learners, trainees, vendors and contractors before entering any SHA facility (including long-term care facilities, hospitals, primary care sites) or program area, to ensure they do not have any influenza-like illness
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/14/sha-update-on-health-system-readiness,https://www.saskatchewan.ca/-/media/files/coronavirus/public-health-measures/public-health-orders/public-health-order-april-17-2020.pdf,Provincial/territorial,No
SK044,Sask.,2020-04-14,2020-04-15,Health workforce,Health workforce — safety guidelines,"Who: Saskatchewan Health Authority
What: Mandated that staff and physicians who work in patient/client/resident care areas or travel through those areas must wear a mask at all times 
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/14/sha-update-on-health-system-readiness,https://www.saskatchewan.ca/-/media/files/coronavirus/public-health-measures/public-health-orders/public-health-order-april-17-2020.pdf,Provincial/territorial,No
SK045,Sask.,2020-04-18,2020-04-18,Travel,Travel — self-isolation,"Who: Regional medical health officers
What: Recommended that all northern Saskatchewan residents returning from northern Alberta self-isolate for 14 days upon return
Effective until:",https://www.saskhealthauthority.ca/news/releases/Pages/2020/April/PHA-for-Northern-Saskatchewan-.aspx,Not applicable,Provincial/territorial,No
SK046,Sask.,2020-04-18,2020-04-18,Travel,Travel — restrictions,"Who: Regional medical health officers
What: Advised against all non-essential travel between northwest Saskatchewan and northern Alberta. This is in response to cases linked to travel between northwest Saskatchewan and Alberta, and reports of a number of COVID-19 cases identified at an oil sands facility north of Fort McMurray.
Effective until:",https://www.saskhealthauthority.ca/news/releases/Pages/2020/April/PHA-for-Northern-Saskatchewan-.aspx,Not applicable,Provincial/territorial,No
SK052,Sask.,2020-04-15,2020-04-15,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: Saskatchewan Association of Licensed Practical Nurses 
What: Waived or modified registration requirements for former licensed practical nurses, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost
Effective until: 
",https://salpn.com/wp-content/uploads/salpn-news-april-15-2020.pdf,Not applicable,Provincial/territorial,No
SK053,Sask.,2020-04-16,2020-04-16,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: Saskatchewan College of Paramedics 
What: Waived or modified registration requirements for former paramedics, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost. Licence valid for 90 days.
Effective until:
",https://www.collegeofparamedics.sk.ca/web/SCoP/News/Pandemic_Emergency_Licence_now_available.aspx,Not applicable,Provincial/territorial,No
SK054,Sask.,2020-03-13,No data,Case management,Case management — assessment centres,"Who: Ministry of Health, Saskatchewan Health Authority
What: Announced introduction of COVID-19 assessment sites over the coming days
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/march/13/further-measures-for-covid-19,Not applicable,Provincial/territorial,No
SK056,Sask.,2020-04-08,No data,Case management,Case management — assessment centres,"Who: Ministry of Health, Saskatchewan Health Authority
What: Announced increased access to testing through the creation of 38 testing sites around the province and tripled the staff available for contact tracing efforts to detect and prevent community transmission
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/08/health-system-readiness,Not applicable,Provincial/territorial,No
SK057,Sask.,No data,No data,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: Saskatchewan Society of Medical Laboratory Technologists 
What: Waived or modified registration requirements for former registered medical laboratory technologists, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost
Effective until: 
",https://ssmlt.org/document/3967/Covid%20Callout%20website.pdf,Not applicable,Provincial/territorial,No
SK058,Sask.,No data,No data,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: College of Physicians and Surgeons of Saskatchewan 
What: Published information on modification of registration requirements for non-practising/retired/out-of-province physicians, allowing them to apply for return to practice during the pandemic on an expedited basis and at no cost 
Effective until: ",https://www.cps.sk.ca/imis/CPSS/News___Events/News/News_Items/COVID-19_-_Emergency_Changes_to_Physician_Registration_Requirements.aspx,Not applicable,Provincial/territorial,No
SK059,Sask.,2020-04-03,2020-04-03,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: Saskatchewan College of Respiratory Therapists 
What: Published information on emergency registration requirements for retired/inactive/out-of-province/student respiratory therapists, allowing them to apply for temporary registration during the pandemic
Effective until: ",https://scrt.ca/index.html,Not applicable,Provincial/territorial,No
SK060,Sask.,2020-04-01,2020-04-01,State of emergency,State of emergency,"Who: Government of Saskatchewan
What: Extended the provincial state of emergency
Effective until: 2020-04-15",https://publications.saskatchewan.ca/#/products/104779,Not applicable,Provincial/territorial,No
SK061,Sask.,2020-04-15,2020-04-15,State of emergency,State of emergency,"Who: Government of Saskatchewan
What: Extended the provincial state of emergency
Effective until: 2020-05-13",https://publications.saskatchewan.ca/#/products/104998,Not applicable,Provincial/territorial,No
SK062,Sask.,2020-04-23,2020-05-04,Public information,Public information — pandemic response plans,"Who: Premier, Chief Medical Health Officer
What: Released 5-stage ""Re-Open Saskatchewan"" plan to gradually reopen businesses and services
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/23/reopen-saskatchewan-plan,Not applicable,Provincial/territorial,No
SK063,Sask.,2020-04-23,2020-05-04,Openings,Openings — health services,"Who: Premier, Chief Medical Health Officer
What: Announced resumption of public access to dentistry, optometry, physical therapy, optician services, podiatry, occupational therapy and chiropractic treatment; and resumption of access to medical spas for therapeutic services provided by a licensed medical practitioner for Saskatchewan residents; communities of Lloydminster and La Loche excluded
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/23/reopen-saskatchewan-plan,https://www.cbc.ca/news/canada/saskatoon/coronavirus-covid-19-saskatchewan-north-1.5549047,Provincial/territorial,No
SK065,Sask.,2020-04-23,2020-05-04,Openings,Openings — recreation,"Who: Premier, Chief Medical Health Officer
What: Resumption of low-risk outdoor recreational activities (fishing and boating); public access to provincial parks to resume for fishing, boating, hiking and mountain biking, but other services will remain restricted; communities of Lloydminster and La Loche excluded
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/23/reopen-saskatchewan-plan,https://www.cbc.ca/news/canada/saskatoon/coronavirus-covid-19-saskatchewan-north-1.5549047,Provincial/territorial,No
SK066,Sask.,2020-04-23,2020-05-15,Openings,Openings — recreation,"Who: Premier, Chief Medical Officer of Health
What: Permitted golf courses and drive-in theatres to open; community of La Loche excluded
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/23/reopen-saskatchewan-plan,https://www.cbc.ca/news/canada/saskatoon/coronavirus-covid-19-saskatchewan-north-1.5549047,Provincial/territorial,No
SK067,Sask.,2020-04-23,2020-06-01,Openings,Openings — recreation,"Who: Premier, Chief Medical Officer of Health
What: Permitted opening of public and private campgrounds at 50% capacity; community of La Loche excluded
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/23/reopen-saskatchewan-plan,https://www.cbc.ca/news/canada/saskatoon/coronavirus-covid-19-saskatchewan-north-1.5549047,Provincial/territorial,No
SK070,Sask.,2020-04-24,2020-04-24,Distancing,Distancing — gatherings,"Who: Premier, Chief Medical Health Officer
What: Permitted households to spend time with 1 or 2 other households, forming an extended household group
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/24/covid-19-update-april-24,Not applicable,Provincial/territorial,No
SK071,Sask.,2020-04-24,2020-04-24,Travel,Travel — restrictions,"Who: Government of Saskatchewan
What: Restricted non-essential travel to northern Saskatchewan and set up checkpoints on highways. Recommended against travel between northern communities.
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/24/covid-19-cases-in-the-north,Not applicable,Regional,No
SK072,Sask.,2020-04-30,2020-04-30,Openings,Openings — daycares,"Who: Premier, Chief Medical Health Officer
What: Expansion of availability of child care centres beyond pandemic response workers only — now available to families returning to work to a capacity of 8 children per room.
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/30/child-care-spaces,Not applicable,Provincial/territorial,No
SK073,Sask.,2020-04-30,2020-04-30,Travel,Travel — restrictions,"Who: Government of Saskatchewan
What: Further restrictions for travel in and to northern Saskatchewan. All non-critical travel to northern communities and travel between communities is no longer permitted. Exceptions for travel for groceries and medical appointments.
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/30/northern-travel-restrictions,Not applicable,Regional,No
SK074,Sask.,2020-04-30,2020-04-30,Health workforce,Health workforce — supply management,"Who: Government of Saskatchewan
What: Provided $400 wage supplement for essential workers caring for vulnerable populations who are earning less than $2,500/month and working for senior-care facilities or home care, licenced child care facilities, group homes run by community-based organizations, and emergency shelters and transition shelters
Effective until: 2020-07-04",https://www.saskatchewan.ca/government/news-and-media/2020/april/30/temporary-wage-supplement,Not applicable,Provincial/territorial,No
SK075,Sask.,2020-05-01,2020-05-04,Openings,Openings — non-essential services,"Who: Government of Saskatchewan
What: Released guidance on religious services — drive-in services to be permitted as long as people remain in their vehicles and only 1 family is in each car. Not clear on what date nor during which phase this will be permitted.
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/may/01/phase-1-of-reopen-plan,https://publications.saskatchewan.ca/api/v1/products/105097/formats/117566/download,Provincial/territorial,No
SK076,Sask.,2020-05-05,2020-05-19,Public information,Public information — pandemic response plans,"Who: Saskatchewan Health Authority
What: Released 4-phase plan to resume health services
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/may/05/shas-service-resumption-plan,https://pubsaskdev.blob.core.windows.net/pubsask-prod/117566/Re-Open%252BSaskatchewan%252B-%252BMay%252B1%252BUpdate.pdf,Provincial/territorial,No
SK077,Sask.,2020-05-05,2020-05-19,Health services,Health services — resumed medical procedures,"Who: Saskatchewan Health Authority
What: Announced resumption of 6-week urgent surgeries, routine immunizations and mental health and addictions programs. Increase of outpatient volumes for MRI and CT scans.
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/may/05/shas-service-resumption-plan,https://www.saskatchewan.ca/-/media/news-release-backgrounders/2020/may/service-resumption-plan.pdf ,Provincial/territorial,No
SK078,Sask.,2020-04-28,2020-04-28,Public information,Public information — projections,"Who: Saskatchewan Health Authority
What: Updated projections for cases and critical care capacity
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/april/28/updated-pandemic-modelling,https://www.saskatchewan.ca/-/media/news-release-backgrounders/2020/apr/covid-19-modelling-and-acute-surge-update-april-28.pdf ,Provincial/territorial,No
SK080,Sask.,2020-04-29,2020-05-04,Health workforce,Health workforce — safety guidelines,"Who: Saskatchewan Dental Hygienists Association 
What: Released interim protocol for safe return to practice
Effective until: ",https://www.sdha.ca/wp-content/uploads/2020/04/SDHA-Covid-19-Pandemic-IPC-Interim-ProtocolMay3.2020.pdf,Not applicable,Provincial/territorial,No
SK081,Sask.,2020-04-27,2020-05-04,Health workforce,Health workforce — safety guidelines,"Who: College of Dental Surgeons of Saskatchewan 
What: Updated interim protocol to support the gradual return to practice. Protocol includes training and personal protective equipment requirements that practices must meet prior to offering non-emergency dental care.
Effective until: ",https://saskdentists.com/images/pdf/temp_files/Alerts__Memos/20200427_CDSS_IPC_Interim_Protocol_Update2.pdf,Not applicable,Provincial/territorial,No
SK082,Sask.,2020-04-08,2020-04-08,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: Saskatchewan College of Pharmacy Professionals 
What: Provided expedited emergency registration/licensure at no cost for retired, associate and non-practising members and pharmacy professionals who were previously registered/licensed
Effective until: ",https://saskpharm.ca/document/5935/REF_Emergency%20Licensure_20200417.pdf,Not applicable,Provincial/territorial,No
SK083,Sask.,2020-04-22,2020-04-22,Health workforce,Health workforce — change in practice,"Who: College of Physicians and Surgeons of Saskatchewan 
What: Announced that physicians may apply for COVID-19 Emergency Scope of Practice, which enables them to expand their scope of practice related to service delivery
Effective until: ",https://www.cps.sk.ca/iMIS/Documents/PANDEMIC/COVID-19/COVID19%20Emergency%20Scope%20of%20Practice%20Expansion%20Letter%20and%20Application%20Form.pdf,Not applicable,Provincial/territorial,No
SK084,Sask.,2020-03-20,2020-03-23,Closures,Closures — recreation,"Who: Government of Saskatchewan, Chief Medical Health Officer
What: Closures of all recreational and entertainment facilities including fitness centres, casinos, bingo halls, arenas, curling rinks, swimming pools, galleries, theatres, museums and similar facilities
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/march/20/covid-19-update-march-20,Not applicable,Provincial/territorial,No
SK085,Sask.,2020-05-07,2020-05-07,Closures,Closures — education,"Who: Government of Saskatchewan
What: Suspended in-class learning until September
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/may/07/in-class-learning-suspended,Not applicable,Provincial/territorial,No
SK086,Sask.,2020-05-13,2020-05-13,State of emergency,State of emergency,"Who: Government of Saskatchewan
What: Extended the provincial state of emergency
Effective until: 2020-05-27",https://www.saskatchewan.ca/government/news-and-media/2020/may/13/covid-19-update-may-13,Not applicable,Provincial/territorial,No
SK087,Sask.,2020-05-14,2020-05-25,Case management,Case management — test criteria,"Who: Government of Saskatchewan
What: Expanded testing criteria to include all residents working outside of home. Proactive testing of all patients upon or in advance of a planned admission to an acute care hospital for a stay greater than 24 hours, immunocompromised asymptomatic individuals, all health staff working with immunocompromised patients and workers in high volume work settings (factories and industrial settings).
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/may/14/covid-19-update-may-14,https://www.saskatchewan.ca/government/news-and-media/2020/may/25/covid-19-update-may-25,Provincial/territorial,No
SK089,Sask.,2020-04-23,2020-05-19,Openings,Openings — non-essential services,"Who: Government of Saskatchewan
What: Permitted hairdresser and barbershops, retail businesses, shopping malls, public markets and farmers' markets to open; community of La Loche excluded
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/23/reopen-saskatchewan-plan,https://www.saskatchewan.ca/government/news-and-media/2020/may/14/reopen-saskatchewan-phase-2,Provincial/territorial,No
SK090,Sask.,2020-04-23,2020-05-19,Openings,Openings — health services,"Who: Government of Saskatchewan
What: Permitted services from registered massage therapists, acupuncturists and acupressurists; community of La Loche excluded
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/april/23/reopen-saskatchewan-plan,https://www.saskatchewan.ca/government/news-and-media/2020/may/14/reopen-saskatchewan-phase-2,Provincial/territorial,No
SK091,Sask.,2020-05-19,2020-05-19,Openings,Openings — health services,"Who: Saskatchewan Health Authority
What: Resumed outpatient physiotherapy and home care services
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/may/19/sha-phase-1,Not applicable,Provincial/territorial,No
SK092,Sask.,2020-05-22,2020-05-22,Public information,Public information — masks,"Who: Government of Saskatchewan
What: Recommended wearing a non-medical mask in community settings where distancing is not possible
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/may/22/covid-19-update-may-22,Not applicable,Provincial/territorial,No
SK093,Sask.,2020-05-21,2020-06-08,Openings,Openings — recreation,"Who: Government of Saskatchewan
What: Permitted gyms and fitness facilities to open; community of La Loche excluded
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/may/21/reopen-saskatchewan-plan-phase-3,Not applicable,Provincial/territorial,No
SK094,Sask.,2020-05-21,2020-06-08,Openings,Openings — non-essential services,"Who: Government of Saskatchewan
What: Permitted additional personal businesses to open that were not included in the 2020-05-19 Phase 2 reopenings (e.g., estheticians, tattoo artists, make-up applicators, manicurists); opened places of worship; community of La Loche excluded
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/may/21/reopen-saskatchewan-plan-phase-3,Not applicable,Provincial/territorial,No
SK095,Sask.,2020-05-21,2020-06-08,Distancing,Distancing — gatherings,"Who: Government of Saskatchewan
What: Increased the limit on outdoor gatherings to 30 people or fewer; increased the limit on indoor gatherings to 15 people or fewer; northwest Saskatchewan excluded
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/may/21/reopen-saskatchewan-plan-phase-3,https://www.saskatchewan.ca/government/news-and-media/2020/june/08/covid-19-update-june-8,Provincial/territorial,No
SK096,Sask.,2020-05-21,2020-06-08,Openings,Openings — daycares,"Who: Government of Saskatchewan
What: Permitted all child care centres to open, and increased capacity limit to 15 children per room
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/may/21/reopen-saskatchewan-plan-phase-3,Not applicable,Provincial/territorial,No
SK097,Sask.,2020-05-19,2020-05-19,Travel,Travel — restrictions,"Who: Government of Saskatchewan
What: Amended travel restrictions to Northern Saskatchewan Administration District to only its northwestern region
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/may/19/covid-19-update-may-19,Not applicable,Regional,No
SK098,Sask.,2020-05-13,2020-05-13,Travel,Travel — restrictions,"Who: Indigenous Services Canada
What: Announced $2.3 million in support of the ongoing effort to combat COVID-19 in northwestern Saskatchewan, including supporting security checkpoints in impacted communities
Effective until: ",https://www.canada.ca/en/indigenous-services-canada/news/2020/05/government-of-canada-the-meadow-lake-tribal-council-and-metis-nationsaskatchewan-announce-emergency-support-for-covid-19-response-in-northwestern-s.html,Not applicable,Regional,Yes
SK099,Sask.,2020-05-22,2020-06-01,Health workforce,Health workforce — safety guidelines,"Who: College of Dental Surgeons of Saskatchewan 
What: Published interim protocol to support dentists in the gradual return to practice 
Effective until: ",https://saskdentists.com/images/pdf/temp_files/Alerts__Memos/20200526_IPC_Interim_Protocol_Update_for_June_1_2020.pdf,Not applicable,Provincial/territorial,No
SK100,Sask.,2020-04-20,2020-04-20,Case management,Case management — case definition,"Who: Government of Saskatchewan
What: Updated case definition of suspect and probable cases, which aligns with the national case definition
Effective until:",https://web.archive.org/web/20200422224731/https://www.ehealthsask.ca/services/Manuals/Documents/cdc-section2.pdf,Not applicable,Provincial/territorial,No
SK101,Sask.,2020-05-28,2020-05-27,State of emergency,State of emergency,"Who: Government of Saskatchewan
What: Extended the provincial state of emergency
Effective until: 2020-06-10",https://www.saskatchewan.ca/government/news-and-media/2020/may/28/covid-19-update-may-28,Not applicable,Provincial/territorial,No
SK102,Sask.,2020-06-01,2020-06-05,Case management,Case management — test criteria,"Who: Government of Saskatchewan
What: Expanded testing criteria to include those being admitted to acute care for more than 24 hours (including expectant mothers) and immunocompromised individuals and their health care providers
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/01/covid-19-update-june-1,Not applicable,Provincial/territorial,No
SK103,Sask.,2020-06-02,2020-06-08,Travel,Travel — restrictions,"Who: Government of Saskatchewan
What: Lifted travel restrictions on northwest Saskatchewan
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/02/covid-19-update-jun-2,Not applicable,Provincial/territorial,No
SK104,Sask.,2020-06-02,2020-06-08,Distancing,Distancing — gatherings,"Who: Government of Saskatchewan
What: Increased the limit on outdoor gatherings in northwest Saskatchewan to 20 people, with physical distancing requirements
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/02/covid-19-update-jun-2,Not applicable,Regional,No
SK105,Sask.,2020-06-03,2020-06-03,Health services,Health services — visitors,"Who: Government of Saskatchewan
What: Announced that long-term care residents may have 2 designated support persons in cases where having only 1 will impact quality of life (visits remain restricted to compassionate care); outpatients and family members/support persons will be provided with a medical grade mask and asked to wear it while in Saskatchewan Health Authority homes and facilities
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/03/visitation-and-masking-guidelines,Not applicable,Provincial/territorial,No
SK106,Sask.,2020-06-03,2020-06-03,Health services,Health services — visitors,"Who: Government of Saskatchewan
What: Added all critical care and intensive care patients to the definition of compassionate care (for whom visitors are permitted). Expanded family presence for palliative care to allow for 2 people at the same time. Outpatients and family members/support persons will be provided with a medical grade mask and asked to wear it while in Saskatchewan Health Authority homes and facilities.
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/03/visitation-and-masking-guidelines,Not applicable,Provincial/territorial,No
SK107,Sask.,2020-06-08,2020-06-12,Openings,Openings — recreation,"Who: Government of Saskatchewan
What: Permitted outdoor playgrounds and beaches and associated washrooms to open, community of La Loche excluded
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/08/covid-19-update-june-8,Not applicable,Provincial/territorial,No
SK108,Sask.,2020-06-10,2020-06-16,Health services,Health services — resumed medical procedures,"Who: Saskatchewan Health Authority
What: Announced further increases to surgical capacity, medical imaging capacity and specialty clinic testing
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/10/sha-update-on-next-phase,Not applicable,Provincial/territorial,No
SK109,Sask.,2020-06-11,2020-06-11,Distancing,Distancing — gatherings,"Who: Government of Saskatchewan
What: Increased the limit on religious services, weddings and outdoor ceremonies (including graduations) to 150 people or fewer (in multiple groups of 30) or 1/3 seating capacity, whichever is less; physical distancing is required
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/11/reopen-saskatchewan-phase-4,https://www.saskatchewan.ca/government/news-and-media/2020/june/17/covid-19-update-june-17,Provincial/territorial,No
SK110,Sask.,2020-06-12,2020-06-10,State of emergency,State of emergency,"Who: Government of Saskatchewan
What: Extended the provincial state of emergency
Effective until: 2020-06-24",https://www.saskatchewan.ca/government/news-and-media/2020/june/12/covid19-update-june-12,Not applicable,Provincial/territorial,No
SK112,Sask.,2020-06-16,2020-06-22,Openings,Openings — recreation,"Who: Government of Saskatchewan
What: Permitted outdoor pools and splash pads and outdoor sports and activities to open, community of La Loche excluded
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/16/covid-19-update-june-16,https://www.cbc.ca/news/canada/saskatoon/clearwater-river-dene-covid-19-1.5614294,Provincial/territorial,No
SK113,Sask.,2020-06-16,2020-06-22,Distancing,Distancing — gatherings,"Who: Government of Saskatchewan
What: Increased limit on indoor gatherings to 30 people with physical distancing requirements, northwest Saskatchewan excluded
Effective until: ",https://www.saskatchewan.ca/government/news-and-media/2020/june/16/covid-19-update-june-16,https://www.cbc.ca/news/canada/saskatoon/clearwater-river-dene-covid-19-1.5614294,Provincial/territorial,No
SK117,Sask.,2020-05-10,2020-05-11,Openings,Openings — health services ,"Who: City of Lloydminster
What: Resumed public access to dentistry, optometry, physical therapy, optician services, podiatry, occupational therapy and chiropractic treatment as part of the Phase 1 reopening in Lloydminster; resumption of access to medical spas for therapeutic services provided by a licensed medical practitioner for Saskatchewan residents 
Effective until:",Not applicable,https://edmonton.ctvnews.ca/lloydminster-to-start-phase-1-of-reopening-after-delay-caused-by-new-cases-1.4933153,Municipal,No
SK118,Sask.,2020-06-02,2020-06-08,Openings,Openings — health services ,"Who: Premier, Chief Medical Health Officer
What: In the village of La Loche, resumption of public access to dentistry, optometry, physical therapy, optician services, podiatry, occupational therapy and chiropractic treatment; resumption of access to medical spas for therapeutic services provided by a licensed medical practitioner for Saskatchewan residents 
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/june/02/covid-19-update-jun-2,https://globalnews.ca/news/7040924/saskatchewan-deaths-coronavirus-update-june-8/,Municipal,No
SK119,Sask.,2020-05-10,2020-05-11,Openings,Openings — recreation,"Who: Premier, Chief Medical Health Officer
What: In Lloydminster, resumed low-risk outdoor recreational activities (fishing and boating); public access to provincial parks to resume for fishing, boating, hiking and mountain biking, but other services will remain restricted 
Effective until:",Not applicable,https://edmonton.ctvnews.ca/lloydminster-to-start-phase-1-of-reopening-after-delay-caused-by-new-cases-1.4933153,Municipal,No
SK120,Sask.,2020-06-02,2020-06-08,Openings,Openings — recreation,"Who: Premier, Chief Medical Health Officer
What: In the village of La Loche, resumed low-risk outdoor recreational activities (fishing and boating); public access to provincial parks to resume for fishing, boating, hiking and mountain biking, but other services will remain restricted; opened golf courses, drive-in theatres, as well as campgrounds at 50% capacity
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/june/02/covid-19-update-jun-2,https://globalnews.ca/news/7040924/saskatchewan-deaths-coronavirus-update-june-8/,Municipal,No
SK121,Sask.,2020-06-02,2020-06-08,Openings,Openings — non-essential services,"Who: Government of Saskatchewan
What: In the village of La Loche, permitted hairdressers and barbershops, retail businesses, shopping malls, public markets and farmers' markets to open. 
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/june/02/covid-19-update-jun-2,https://globalnews.ca/news/7040924/saskatchewan-deaths-coronavirus-update-june-8/,Municipal,No
SK122,Sask.,2020-06-02,2020-06-08,Openings,Openings — health services ,"Who: Government of Saskatchewan
What: In the village of La Loche, permitted services for registered massage therapists, acupuncturists and acupressurists to open 
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/june/02/covid-19-update-jun-2,https://globalnews.ca/news/7040924/saskatchewan-deaths-coronavirus-update-june-8/,Municipal,No
SK123,Sask.,2020-05-07,2020-05-04,Health workforce,Health workforce — safety guidelines,"Who: Chiropractors' Association of Saskatchewan
What: Implemented policy for infection prevention and control at all chiropractic clinics 
Effective until:",https://saskchiro.ca/wp-content/uploads/2020/06/Policy-VV-Policy-on-COVID-19-Infection-Prevention-and-Control-May-7-2020.pdf,Not applicable,Provincial/territorial,No
SK124,Sask.,No data,2020-06-15,Health workforce,Health workforce — safety guidelines,"Who: Saskatchewan Dental Hygienists Association
What: Issued interim directives for dental hygenists to reduce the risk of transmission and enable safe reopening of services
Effective until: ",https://www.sdha.ca/wp-content/uploads/2020/04/SDHA-COVID-NEW.pdf,Not applicable,Provincial/territorial,No
SK125,Sask.,2020-05-14,2020-05-19,Public information,Public information — phase and alert level changes,"Who: Government of Saskatchewan
What: All regions except the village of La Loche entered Phase 2 of the ""Re-Open Saskatchewan"" plan.
Effective until: 2020-06-07",https://www.saskatchewan.ca/government/news-and-media/2020/may/14/reopen-saskatchewan-phase-2,Not applicable,Provincial/territorial,No
SK126,Sask.,2020-05-21,2020-06-08,Public information,Public information — phase and alert level changes,"Who: Government of Saskatchewan
What: All regions except the village of La Loche entered Phase 3 of the ""Re-Open Saskatchewan"" plan.
Effective until: 2020-06-21",https://www.saskatchewan.ca/government/news-and-media/2020/may/21/reopen-saskatchewan-plan-phase-3,https://www.saskatchewan.ca/government/news-and-media/2020/june/08/covid-19-update-june-8,Provincial/territorial,No
SK127,Sask.,2020-06-16,2020-06-22,Public information,Public information — phase and alert level changes,"Who: Government of Saskatchewan
What: All regions except the village of La Loche entered Phase 4 of the ""Re-Open Saskatchewan"" plan.
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/june/16/covid-19-update-june-16,https://www.saskatchewan.ca/government/news-and-media/2020/june/23/reopen-saskatchewan-phase-4-point-2,Provincial/territorial,No
SK128,Sask.,2020-05-10,2020-05-11,Public information,Public information — phase and alert level changes,"Who: Government of Saskatchewan
What: City of Lloydminster entered Phase 1 of the ""Re-Open Saskatchewan"" plan.
Effective until: 2020-05-18",Not applicable,https://edmonton.ctvnews.ca/lloydminster-to-start-phase-1-of-reopening-after-delay-caused-by-new-cases-1.4933153,Municipal,No
SK129,Sask.,2020-06-02,2020-06-08,Public information,Public information — phase and alert level changes,"Who: Government of Saskatchewan
What: Village of La Loche entered phases 1 and 2 of the ""Re-Open Saskatchewan"" plan.
Effective until:",https://www.saskatchewan.ca/government/news-and-media/2020/june/02/covid-19-update-jun-2,https://www.saskatchewan.ca/government/news-and-media/2020/june/08/covid-19-update-june-8,Municipal,No
